PROVINCE,TIME,MONTH,YEAR,NN_DIR,NN_DIR_LAG,REGION,CASES,DIR,POP,POP_OFFSET,RGN_IND,PROV_IND,SEASON,RATE_DIR,RATE_CASES,RSI_DIR,RSI_DIR_LAG,RSI_DIR_LAG_2,AVG_RSI_DIR_LAG,SQ_RSI_DIR_LAG,SCALED_DIR,SCALED_AVG_RSI_DIR_LAG,SCALED_SQ_RSI_DIR_LAG,SCALED_RSI_DIR_LAG,tmax,tmin,prec,SPI_6,TOTAL,ANOM,E_INDEX,C_INDEX,spei,tmax_roll_2,tmax_roll_3,tmin_roll_2,tmin_roll_3,prec_roll_2,prec_roll_3,OUTBREAK_50_TRUE,OUTBREAK_150_TRUE,longitude,latitude,YEAR_DECIMAL,LAT_PROV_IND,LONG_PROV_IND,PROPN_URBAN_2017,PROPN_URBAN_2007,URBAN_ORDER,PROPN_CONFIRMED,DIFF_WITH_HISTORICAL_DIR_LAG,MODIFIED_DIFF_WITH_HISTORICAL_DIR_LAG,REGION_AREA_KM2,POP_DENSITY,LOG_CASES,LAG_1_LOG_CASES,LAG_2_LOG_CASES,LAG_1_tmin_roll_2,LAG_1_prec_roll_2,end_of_month,unique_id
Huancabamba,29,9,2012,0.638013378293265,4.12887131484013,Piura,0,0,120913.316666667,1.20913316666667,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,23.0626432771853,10.8049436858367,11.4389216127441,-0.029890137102534,27.13,0.37,0.23622,0.23488,-0.598990343191794,22.9566181600718,22.9608624871258,10.8381839928237,10.9073557261039,11.2917223213458,10.3874829861462,0,0,-79.5136,-5.4421,2012.66666666667,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.160734369657,0,0,0,10.9585617462374,9.86176367284732,2012-09-30,Huancabamba
Huancabamba,30,10,2012,0.115199821578516,0.638013378293265,Piura,0,0,120858.725,1.20858725,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.5145519784711,10.3355427090601,63.586933191165,-0.0490636711198367,26.98,0.27,-0.3521,0.53644,-0.891261741944722,22.7885976278282,22.8092627662049,10.5702431974484,10.6706368982358,37.5129274019546,28.7234592779522,0,0,-79.5136,-5.4421,2012.75,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.148019960143,0,0,0,10.8381839928237,11.2917223213458,2012-10-31,Huancabamba
Huancabamba,31,11,2012,0.433475679154511,0.115199821578516,Piura,0,0,120804.133333333,1.20804133333333,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,23.5708661417323,10.8683843317054,54.9966560622862,0.158000007271767,26.73,0.05,-0.4313,0.54695,-0.278843848513705,23.0427090601017,23.0493537991295,10.6019635203827,10.6696235755341,59.2917946267257,43.3408369553985,0,0,-79.5136,-5.4421,2012.83333333333,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.135305550629,0,0,0,10.5702431974484,37.5129274019546,2012-11-30,Huancabamba
Huancabamba,32,12,2012,0.114820910954661,0.433475679154511,Piura,0,0,120749.541666667,1.20749541666667,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,23.2240107644772,10.7581979467756,27.4304991968843,-0.169952555839786,26.41,-0.21,-0.80241,0.24986,-0.430427143403462,23.3974384531048,23.1031429615602,10.8132911392405,10.6540416625137,41.2135776295853,48.6713628167785,0,0,-79.5136,-5.4421,2012.91666666667,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.122591141115,0,0,0,10.6019635203827,59.2917946267257,2012-12-31,Huancabamba
Huancabamba,33,1,2013,0,0.114820910954661,Piura,0,0,120694.95,1.2069495,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.712399083026,11.9166749725905,65.5295175491344,-0.112589266155841,26.21,-0.43,-0.76897,-0.07673,-0.383879407708134,22.9682049237516,23.1690919964118,11.337436459683,11.1810857503572,46.4800083730094,49.3188909361016,0,0,-79.5136,-5.4421,2013,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.109876731601,0,0,0,10.8132911392405,41.2135776295853,2013-01-31,Huancabamba
Huancabamba,34,2,2013,0.114444484754335,0,Piura,0,0,120640.358333333,1.20640358333333,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.433369879398,11.9377055716137,176.905860614577,-0.23215605409702,26.44,-0.43,-0.50947,-0.27079,0.672042991646698,22.572884481212,22.7899265756337,11.9271902721021,11.5375261636599,121.217689081856,89.9552924535319,0,0,-79.5136,-5.4421,2013.08333333333,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.097162322087,0,0,0,11.337436459683,46.4800083730094,2013-02-28,Huancabamba
Huancabamba,35,3,2013,0.317391723968637,0.114444484754335,Piura,0,0,120585.766666667,1.20585766666667,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,22.1354031695405,11.6879796670986,185.073317795918,-0.294332087151567,26.96,-0.34,-0.05573,-0.44643,0.763761339017323,22.2843865244693,22.4270573773215,11.8128426193561,11.8474534037676,180.989589205247,142.50289865321,0,0,-79.5136,-5.4421,2013.16666666667,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.084447912573,0,0,0,11.9271902721021,121.217689081856,2013-03-31,Huancabamba
Huancabamba,36,4,2013,0.203054425896099,0.317391723968637,Piura,0,0,120531.175,1.20531175,1,5,1,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,21.5077245091199,10.8207913884182,107.967262889718,-0.456389508518238,27.38,-0.3,-0.55782,-0.13391,0.671894312543529,21.8215638393302,22.0254991860195,11.2543855277584,11.4821588757102,146.520290342818,156.648813766738,0,0,-79.5136,-5.4421,2013.25,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.071733503059,0,0,0,11.8128426193561,180.989589205247,2013-04-30,Huancabamba
Huancabamba,37,5,2013,0.202974386662147,0.203054425896099,Piura,0,0,120476.583333333,1.20476583333333,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396785,22.1488089305293,10.6801056513505,98.7990880916474,-0.348826479971334,27.47,-0.36,-1.22094,0.07801,0.750498698226043,21.8282667198246,21.9306455363966,10.7504485198844,11.0629589022891,103.383175490683,130.613222925761,0,0,-79.5136,-5.4421,2013.33333333333,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.059019093545,0,0,0,11.2543855277584,146.520290342818,2013-05-31,Huancabamba
Huancabamba,38,6,2013,0,0.202974386662147,Piura,0,0,120421.991666667,1.20421991666667,1,5,0,,,40,40,40,40,1600,-0.207168253742172,-0.302004311906038,-0.36402769746217,-0.265200480396784,21.329562443935,9.76946077942789,25.8543706119274,-0.279696629772174,27.24,-0.41,-1.50853,0.17619,0.799919066258839,21.7391856872321,21.6620319611947,10.2247832153892,10.4234526063989,62.3267293517874,77.5402405310976,0,0,-79.5136,-5.4421,2013.41666666667,5,14,0.154330454435386,0.1236,2,1,0,0,4293.68478390783,28.046304684031,0,0,0,10.7504485198844,103.383175490683,2013-06-30,Huancabamba
